is:open label:{{param}},S-waiting-on-author,S-waiting-on-review,S-waiting-on-team,S-blocked,S-waiting-on-bors
2023-12-16,13,85,0,2,0
2023-12-15,13,83,0,2,0
2023-12-14,13,83,0,2,0
2023-12-13,13,84,0,2,0
2023-12-12,13,85,0,2,0
2023-12-11,13,85,0,2,0
2023-12-10,13,83,0,2,0
2023-12-09,13,81,0,2,0
2023-12-08,13,81,0,2,0
2023-12-07,13,81,0,2,0
2023-12-06,13,82,0,2,0
2023-12-05,13,85,0,2,0
2023-12-04,13,84,0,2,0
2023-12-03,12,81,0,2,0
2023-12-02,11,80,0,2,0
2023-12-01,11,81,0,2,0
2023-11-30,11,81,0,2,0
2023-11-29,11,80,0,2,0
2023-11-28,12,78,0,2,0
2023-11-27,12,81,0,2,0
2023-11-26,12,78,0,2,0
2023-11-25,12,74,0,2,0
2023-11-24,12,76,0,2,0
2023-11-23,12,75,0,2,0
2023-11-22,12,78,0,2,0
2023-11-21,12,76,0,2,0
2023-11-20,12,76,0,3,0
2023-11-19,14,79,0,2,0
2023-11-18,14,76,0,2,0
2023-11-17,14,77,0,2,0
2023-11-16,14,74,0,2,0
2023-11-15,14,74,0,2,0
2023-11-14,14,73,0,2,0
2023-11-13,14,71,0,2,0
2023-11-12,15,72,0,2,0
2023-11-11,11,76,0,2,0
2023-11-10,12,75,0,2,0
2023-11-09,12,73,0,2,0
2023-11-08,12,73,0,2,0
2023-11-07,12,70,0,2,0
2023-11-06,12,71,0,2,0
2023-11-05,12,70,0,2,0
2023-11-04,12,68,0,2,0
2023-11-03,12,67,0,2,0
2023-11-02,12,68,0,2,0
2023-11-01,12,67,0,2,0
2023-10-31,11,70,0,2,0
2023-10-30,11,72,0,2,0
2023-10-29,11,73,0,2,0
2023-10-28,10,75,0,2,0
2023-10-27,10,72,0,2,0
2023-10-26,10,75,0,2,0
2023-10-25,10,75,0,2,0
2023-10-24,10,77,0,2,0
2023-10-23,10,75,0,2,0
2023-10-22,10,74,0,2,0
2023-10-21,9,78,0,2,0
2023-10-20,9,78,0,2,0
2023-10-19,10,79,0,2,0
2023-10-18,10,80,0,2,0
2023-10-17,10,82,0,2,0
2023-10-16,8,86,0,2,0
2023-10-15,8,85,0,2,0
2023-10-14,8,84,0,2,0
2023-10-13,8,83,0,2,0
2023-10-12,8,82,0,2,0
2023-10-11,8,82,0,2,0
2023-10-10,8,81,0,2,0
2023-10-09,8,81,0,2,0
2023-10-08,7,81,0,2,0
2023-10-07,9,83,0,2,0
2023-10-06,9,85,0,2,0
2023-10-05,9,85,0,2,0
2023-10-04,9,83,0,2,0
2023-10-03,9,83,0,2,0
2023-10-02,9,81,0,2,0
2023-10-01,9,81,0,2,0
2023-09-30,9,80,0,2,0
2023-09-29,9,81,0,2,0
2023-09-28,9,81,0,2,0
2023-09-27,9,81,0,2,0
2023-09-26,9,83,0,2,0
2023-09-25,9,83,0,2,0
2023-09-24,9,84,0,2,0
2023-09-23,9,82,0,2,0
2023-09-22,9,82,0,2,0
2023-09-21,9,83,0,2,0
2023-09-20,9,82,0,2,0
2023-09-19,9,82,0,2,0
2023-09-18,9,85,0,2,0
2023-09-17,9,80,0,2,0
2023-09-16,9,80,0,2,0
2023-09-15,9,79,0,2,0
2023-09-14,9,80,0,2,0
2023-09-13,9,76,0,2,0
2023-09-12,9,77,0,2,0
2023-09-11,8,78,0,2,0
2023-09-10,8,76,0,2,0
2023-09-09,8,78,0,2,0
2023-09-08,8,78,0,2,0
2023-09-07,8,79,0,2,0
2023-09-06,8,80,0,2,0
2023-09-05,8,81,0,2,0
2023-09-04,8,81,0,2,0
2023-09-03,8,80,0,2,0
2023-09-02,8,79,0,2,0
2023-09-01,8,79,0,2,0
2023-08-31,8,82,0,2,0
2023-08-30,9,80,0,2,0
2023-08-29,9,81,0,2,0
2023-08-28,9,83,0,2,0
2023-08-27,10,81,0,2,0
2023-08-26,10,84,0,2,0
2023-08-25,10,79,0,2,0
2023-08-24,10,77,0,2,0
2023-08-23,10,77,0,2,0
