is:open label:{{param}},S-waiting-on-author,S-waiting-on-review,S-waiting-on-team,S-waiting-on-crater,S-waiting-on-bikeshed,S-blocked,S-waiting-on-bors,S-inactive
2020-03-27,73,81,7,2,0,15,10,0
2020-03-26,76,92,5,2,0,15,9,0
2020-03-25,75,93,5,2,0,15,7,0
2020-03-24,78,91,5,2,0,14,24,0
2020-03-23,80,106,5,1,0,13,22,0
2020-03-22,85,96,7,1,0,12,32,0
2020-03-21,81,88,7,1,0,15,45,0
2020-03-20,87,86,8,1,0,15,36,0
2020-03-19,86,83,9,1,0,15,39,0
2020-03-18,85,86,9,0,0,15,30,0
2020-03-17,92,82,9,0,0,16,32,0
2020-03-16,93,77,7,1,0,19,39,0
2020-03-15,93,85,7,1,0,18,37,0
2020-03-14,91,73,7,1,0,17,38,0
2020-03-13,91,72,7,2,0,17,40,0
2020-03-12,94,73,7,2,0,21,33,0
2020-03-11,88,85,7,1,0,22,31,0
2020-03-10,91,87,8,0,0,24,22,0
2020-03-09,90,91,8,0,0,21,16,0
2020-03-08,83,96,8,0,0,21,35,0
2020-03-07,86,95,8,0,0,19,32,0
2020-03-06,87,87,8,1,0,17,34,0
2020-03-05,83,92,8,1,0,15,22,0
2020-03-04,83,81,10,1,0,15,19,0
2020-03-03,81,80,10,0,0,15,25,0
2020-03-02,78,97,7,1,0,15,14,0
2020-03-01,75,87,7,1,0,14,26,0
2020-02-29,77,93,8,1,0,14,16,0
2020-02-28,72,93,8,0,0,15,27,0
2020-02-27,70,100,10,0,0,14,19,0
2020-02-26,68,99,10,1,0,14,26,0
2020-02-25,69,102,9,1,0,15,20,0
2020-02-24,74,97,8,2,0,15,8,0
2020-02-23,75,96,9,1,0,14,5,0
2020-02-22,76,86,9,1,0,13,12,0
2020-02-21,70,90,8,0,0,13,4,0
2020-02-20,72,91,8,0,0,14,10,0
2020-02-19,75,88,8,0,0,14,14,0
2020-02-18,73,86,7,0,0,16,19,0
2020-02-17,77,81,7,1,0,16,17,0
2020-02-16,69,94,8,1,0,15,9,0
2020-02-15,70,93,8,1,0,16,12,0
2020-02-14,71,92,8,1,0,15,12,0
2020-02-13,74,92,9,0,0,15,15,0
2020-02-12,72,94,9,0,0,14,22,0
2020-02-11,77,99,9,0,0,13,18,0
2020-02-10,71,109,9,0,0,14,10,0
2020-02-09,71,99,11,0,0,14,13,0
2020-02-08,67,94,11,0,0,14,9,0
2020-02-07,66,93,12,1,0,16,14,0
2020-02-06,66,91,11,1,0,16,20,0
2020-02-05,69,90,9,1,0,17,15,0
2020-02-04,66,93,9,2,0,17,7,0
2020-02-03,69,91,9,2,0,17,3,0
2020-02-02,69,90,9,1,0,16,9,0
2020-02-01,66,88,8,1,0,15,4,0
2020-01-31,65,77,8,1,0,15,11,0
2020-01-30,65,70,8,4,0,17,8,0
2020-01-29,67,70,8,4,0,17,15,0
2020-01-28,67,74,9,4,0,17,16,0
