is:open updated:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2019-05-24,61,42,37,15,15,13
2019-05-23,59,44,32,14,13,13
2019-05-22,64,45,24,15,13,13
2019-05-21,48,60,22,13,12,13
2019-05-20,62,53,23,8,13,12
2019-05-19,48,54,28,16,17,11
2019-05-18,57,45,27,22,16,9
2019-05-17,47,44,22,29,31,14
2019-05-16,45,53,19,24,32,13
2019-05-15,40,57,20,29,31,12
2019-05-14,65,40,27,26,27,13
2019-05-13,59,29,34,29,25,12
2019-05-12,32,44,29,30,34,10
2019-05-11,32,47,28,27,32,11
2019-05-10,43,37,26,32,28,10
2019-05-09,49,40,21,33,25,10
2019-05-08,40,42,32,31,24,10
2019-05-07,46,43,29,28,22,10
2019-05-06,55,36,35,26,18,9
2019-05-05,35,56,32,25,23,9
2019-05-04,52,47,25,26,21,9
2019-05-03,50,56,24,22,19,9
2019-05-02,70,42,19,23,16,9
2019-05-01,59,46,24,26,15,8
2019-04-30,58,36,30,25,16,8
2019-04-29,50,41,39,25,19,4
2019-04-28,38,53,33,29,19,4
2019-04-27,29,60,30,32,19,4
2019-04-26,44,48,29,33,16,4
2019-04-25,54,46,24,31,17,4
2019-04-24,54,38,28,24,17,4
2019-04-23,48,40,32,27,19,4
2019-04-22,56,30,31,26,17,4
2019-04-21,24,48,32,27,19,4
2019-04-20,38,47,29,19,18,4
2019-04-19,38,38,36,16,19,3
2019-04-18,51,34,34,20,16,1
2019-04-17,50,33,30,15,18,1
2019-04-16,34,51,22,15,17,1
2019-04-15,49,43,22,14,14,1
2019-04-14,42,39,23,26,13,1
2019-04-13,44,61,25,35,4,1
2019-04-12,64,50,22,35,4,1
2019-04-11,53,65,28,28,4,1
2019-04-10,46,61,28,31,4,1
2019-04-09,51,39,38,25,4,1
2019-04-08,46,36,47,16,3,1
2019-04-07,30,53,33,25,3,1
2019-04-06,31,56,47,7,3,1
2019-04-05,51,45,38,6,3,1
2019-04-04,54,51,28,5,3,1
2019-04-03,47,57,31,4,2,1
2019-04-02,62,66,5,7,0,1
2019-04-01,64,56,11,5,0,1
2019-03-31,31,77,14,9,0,1
2019-03-30,95,26,6,10,0,1
2019-03-29,44,39,23,31,2,3
2019-03-28,55,53,14,31,2,3
2019-03-26,73,37,41,11,3,3
2019-03-25,56,37,53,7,5,3
2019-03-24,34,52,54,17,3,3
2019-03-23,36,62,45,14,2,3
2019-03-22,40,92,27,14,2,3
2019-03-21,51,86,21,13,2,3
2019-03-20,55,76,26,8,2,3
2019-03-19,74,56,20,10,4,3
2019-03-18,79,38,36,15,2,4
2019-03-17,33,62,33,27,14,4
2019-03-16,40,53,28,26,14,4
2019-03-15,37,69,40,32,12,4
2019-03-14,49,62,29,30,7,4
2019-03-13,45,61,27,34,3,3
2019-03-12,58,61,31,31,2,3
2019-03-11,60,43,46,23,2,3
2019-03-10,46,46,41,32,7,4
2019-03-09,41,41,43,31,5,4
2019-03-08,38,72,49,28,4,4
2019-03-07,51,79,31,26,6,3
2019-03-06,47,78,33,19,6,3
2019-03-05,59,59,34,18,4,3
2019-03-04,64,40,35,18,4,3
2019-03-03,36,50,32,20,16,3
2019-03-02,32,73,32,14,16,3
2019-03-01,52,52,32,10,16,3
2019-02-28,49,50,28,11,15,3
2019-02-27,51,42,25,10,14,3
2019-02-26,63,46,17,10,18,2
