is:open created:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2022-07-01,3,0,0,0,1,10
2022-06-30,3,0,0,0,0,10
2022-06-29,1,2,0,1,0,10
2022-06-28,3,0,0,1,0,10
2022-06-27,0,0,0,1,0,10
2022-06-26,1,1,0,1,0,10
2022-06-25,1,0,0,1,0,10
2022-06-24,0,0,0,1,0,10
2022-06-23,1,1,0,0,0,10
2022-06-22,2,1,1,0,0,10
2022-06-21,1,0,1,0,0,10
2022-06-20,0,0,1,0,0,10
2022-06-19,0,0,0,0,0,10
2022-06-18,3,1,0,0,0,10
2022-06-17,2,1,0,0,0,10
2022-06-16,1,0,0,0,0,10
2022-06-15,1,1,0,0,0,10
2022-06-14,3,0,0,0,0,10
2022-06-13,0,1,0,0,0,10
2022-06-12,0,1,0,0,0,10
2022-06-11,1,0,0,0,0,10
2022-06-10,1,0,0,0,0,11
2022-06-09,1,0,0,0,1,10
2022-06-08,0,0,0,0,1,10
2022-06-07,0,0,0,0,2,10
2022-06-06,0,0,0,0,1,10
2022-06-05,0,0,0,1,1,10
2022-06-04,2,1,0,1,1,11
2022-06-03,1,0,0,1,1,11
2022-06-02,1,1,0,1,1,11
2022-06-01,1,1,0,1,1,11
2022-05-31,1,0,0,1,1,11
2022-05-30,2,1,1,0,1,11
2022-05-29,1,1,2,0,2,10
2022-05-28,1,1,2,0,2,10
2022-05-27,1,0,1,0,2,10
2022-05-26,4,2,0,0,2,10
2022-05-25,1,2,0,0,1,10
2022-05-24,1,1,0,1,1,10
2022-05-23,1,1,0,1,1,10
2022-05-22,2,0,0,1,1,10
2022-05-21,0,0,0,1,1,10
2022-05-20,0,0,0,1,1,10
2022-05-19,2,0,0,1,1,11
2022-05-18,1,0,1,0,1,11
2022-05-17,0,1,3,0,1,12
2022-05-16,1,0,2,0,1,12
2022-05-15,0,1,1,0,1,12
2022-05-14,0,2,0,0,0,12
2022-05-13,1,2,0,1,0,12
2022-05-12,1,1,0,1,0,12
2022-05-11,3,0,0,1,0,12
2022-05-10,1,1,0,1,0,12
2022-05-09,4,1,0,1,0,12
2022-05-08,1,0,0,1,0,12
2022-05-07,2,0,0,0,0,12
2022-05-06,0,0,1,0,0,12
2022-05-05,1,0,1,0,1,11
2022-05-04,1,1,1,0,1,11
2022-05-03,1,0,0,0,1,11
2022-05-02,0,1,0,0,1,11
2022-05-01,2,1,0,0,1,11
2022-04-30,2,0,0,0,1,11
2022-04-29,2,0,0,0,1,11
2022-04-28,1,0,0,0,1,11
2022-04-27,0,0,0,0,1,11
